,ID,Accident_Severity,Description,City,State,date
271557,A-783853,2,Accident on I-90 Westbound at Exit 49 NY-78 Transit Rd.,Buffalo,NY,2020-06-04
272988,A-785284,2,Accident on Blue Hill River Rd at Hillside St.,Milton,MA,2020-06-19
273127,A-785423,3,Collector road closed due to accident on US-30 White Horse Pike both ways from Burdick Ave to Lakeview Dr.,Hammonton,NJ,2020-06-20
273148,A-785444,2,Entry ramp to A St Southbound from PA-924 Northbound closed due to flooding.,Gilberton,PA,2020-06-18
273312,A-785608,3,Entry ramp to US-64-BYP Eastbound from US-64-BR Westbound closed due to flooding.,Rocky Mount,NC,2020-06-17
274542,A-786838,3,Accident on I-87 Northbound from Exit 13 Major Deegan Expy to Exit 14 NY-9P.,Saratoga Springs,NY,2020-06-21
275066,A-787362,3,2 left lane blocked due to accident on I-84 Eastbound between Exit 28 NY-208 and Exit 32 NY-747 International Blvd.,Rock Tavern,NY,2020-06-22
276984,A-789280,3,Exit ramp from I-290 Westbound to I-190 Southbound lane closed due to accident.,Tonawanda,NY,2020-06-23
277056,A-789352,2,Accident on Frances Rd at Gale Rd.,Otisville,MI,2020-06-24
278688,A-790984,2,Accident on M-54 Dort Hwy at Lippincott Blvd.,Flint,MI,2020-06-25
281750,A-794046,2,Accident on NY-61 Hyde Park Blvd at US-62-BR Pine Ave.,Niagara Falls,NY,2020-06-26
281913,A-794209,3,Two lanes blocked due to accident on I-95 Southbound at Exit 8 NJ-133.,Hightstown,NJ,2020-06-27
283402,A-795698,2,Restrictions on ramps due to accident on NJ-34 Southbound at I-195 Exits 35A 35B.,Belmar,NJ,2020-06-28
284260,A-796556,2,Accident on I-190 Northbound around Hamburg St.,Buffalo,NY,2020-06-29
287109,A-799405,2,Accident on Florence Ave both ways at Pacific Blvd.,Huntington Park,CA,2020-06-05
288506,A-800802,2,Left lane blocked due to accident on M-39 Southbound at McNichols Rd.,Detroit,MI,2020-06-06
288904,A-801200,2,Accident on Hutchinson River Pkwy Southbound at Exit 4N Baychester Ave.,Bronx,NY,2020-06-07
288952,A-801248,3,Two lane blocked due to accident on I-278 Westbound at Exit 16 Belt Pkwy Exit 3.,Brooklyn,NY,2020-06-08
289336,A-801632,2,Accident on I-90 Westbound at Exit 30 NY-28 Mohawk St.,Herkimer,NY,2020-06-09
292091,A-804387,2,Accident on I-90 Eastbound at Exit 57 NY-75 Camp Rd.,Hamburg,NY,2020-06-10
293435,A-805731,2,Accident on I-90 Eastbound at Exit 58 NY-5.,Irving,NY,2020-06-11
294839,A-807135,2,Accident on I-90 Eastbound at Exit 49 NY-78 Transit Rd.,Buffalo,NY,2020-06-12
296326,A-808622,3,Accident on I-90 Westbound at Exit 59 NY-60 Bennett Rd.,Dunkirk,NY,2020-06-13
296807,A-809103,2,Accident on I-190 Eastbound at Exits 1-52 54-61.,Buffalo,NY,2020-06-14
297187,A-809483,2,Accident on I-90 Eastbound at Exit 48A NY-77 Alleghany Rd.,Corfu,NY,2020-06-15
297223,A-809519,3,Right lane blocked due to accident on I-75 Northbound at Exit 9 Otter Creek Rd.,La Salle,MI,2020-06-16
303020,A-815316,2,Lane blocked due to accident on US-219 near PA-59.,Lewis Run,PA,2020-03-04
304831,A-817127,2,Accident on US-101 Central Fwy Southbound at I-80.,San Francisco,CA,2020-03-03
305110,A-817406,3,Right lane blocked due to accident on I-190 Northbound after Exit 6 Elm St.,Buffalo,NY,2020-03-05
307292,A-819588,2,Entry ramp closed due to accident on NY-33 Eastbound from Tupper St to entry ramp to NY-33.,Buffalo,NY,2020-03-06
307360,A-819656,2,Left lane blocked due to accident on M-8 Davison Fwy Westbound at I-75 Exits 56A 56B.,Highland Park,MI,2020-03-07
309424,A-821720,2,Two lanes blocked and right hand shoulder blocked due to accident on Southfield Fwy Northbound after Elmira St.,Detroit,MI,2020-03-08
310052,A-822348,3,2 lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 39W 65th Pl.,Woodside,NY,2020-03-09
310721,A-823017,3,Accident on NJ-33 Westbound from Millstone Rd to CR-619 Butcher Rd.,Monroe Township,NJ,2020-03-10
314553,A-826849,3,Left lane blocked due to accident on I-190 Eastbound at I-90.,Buffalo,NY,2020-03-11
316509,A-828805,2,Accident on Grider St at Kensington Ave.,Buffalo,NY,2020-03-12
318359,A-830655,2,Accident on NY-60 Northbound near US-20 Main St.,Fredonia,NY,2020-03-13
320382,A-832678,3,Right lane blocked due to accident on I-93 Southbound at Exit 42 Frontage Rd.,Tewksbury,MA,2020-03-14
321031,A-833327,3,Accident on I-90 Westbound at Exit 49 NY-78 Transit Rd.,Buffalo,NY,2020-03-15
321043,A-833339,2,Lane blocked due to accident on NY-7 Eastbound at US-9.,Latham,NY,2020-03-16
323035,A-835331,3,Right lane blocked due to accident on I-90 Eastbound at Exit 58 NY-5.,Irving,NY,2020-03-17
324474,A-836770,2,Accident on I-190 Southbound at Exit 1 Griswold St.,Buffalo,NY,2020-03-18
325068,A-837364,3,Two lanes blocked due to accident on I-285 Northbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.,Atlanta,GA,2020-03-19
325818,A-838114,2,Accident on I-190 Southbound after Exit 14 NY-266 Niagara St.,Buffalo,NY,2020-03-20
328619,A-840915,3,Left lane blocked due to accident on I-90 Westbound at Exits 51E 51W NY-33 Kensington Expy.,Buffalo,NY,2020-03-21
328650,A-840946,3,Right lane blocked due to accident on I-95 Cross Bronx Expy Northbound at Exit 6A Bruckner Blvd.,Bronx,NY,2020-03-22
329479,A-841775,3,Left lane blocked due to accident on I-190 Southbound at NY-16 Seneca St.,Buffalo,NY,2020-03-23
329722,A-842018,3,Two lanes blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 39W 65th Pl.,Woodside,NY,2020-03-24
332231,A-844527,3,Accident on I-495 Blue Star Memorial Hwy Northbound near MA-133 Andover St.,Tewksbury,MA,2020-03-25
332308,A-844604,2,Two lanes blocked due to accident on NY-25 Jericho Tpke Eastbound at I-495 Exits 40E 40 W.,Jericho,NY,2020-03-26
333327,A-845624,3,Right lane closed due to accident on I-94 Eastbound at Mt Elliott.,Detroit,MI,2020-03-27
335275,A-847572,3,Right lane blocked and right hand shoulder blocked due to accident on I-94 Westbound at Exit 213B I-96 Exit 190A.,Detroit,MI,2020-03-28
335284,A-847581,2,Accident on I-90 Westbound at Exit 57 NY-75 Camp Rd.,Hamburg,NY,2020-04-02
335285,A-847582,4,One lane blocked due to accident on I-83 Northbound from Exit 24 Belfast Rd to Exit 27 MD-137.,Monkton,MD,2020-04-01
336294,A-848591,3,Lane blocked due to accident on I-90 Eastbound between I-79 and US-19 Peach St.,Erie,PA,2020-04-03
336343,A-848640,3,Right lane blocked due to accident on I-94 Westbound at I-75.,Detroit,MI,2020-04-04
337899,A-850196,2,Accident on Longwood Ave at Brookline Ave.,Boston,MA,2020-04-05
337905,A-850202,2,Accident on I-90 Westbound from Exit 44 NY-332 to Exit 45 I-490 Exit 29.,Victor,NY,2020-04-06
339523,A-851822,2,Accident on Payne Ave at NY-429 Ward Rd.,North Tonawanda,NY,2020-04-07
340577,A-852876,2,Accident on PA-646 Summit Rd at Wolf Run Rd.,Bradford,PA,2020-04-08
341582,A-853881,2,Exit ramp from Kensington Expy Westbound to NY-198 Westbound lane blocked due to accident.,Buffalo,NY,2020-04-09
342802,A-855101,3,Left lane blocked due to accident on I-290 Westbound at Exit 2 NY-425 Colvin Blvd.,Tonawanda,NY,2020-04-10
342855,A-855154,2,Accident on I-87 Northbound at Exits 2E 2W NY-5 Central Ave.,Albany,NY,2020-04-11
343959,A-856258,3,Left lane blocked due to accident on I-95 Northbound at Exit 14 I-78.,Newark,NJ,2020-04-12
344772,A-857071,2,Accident on I-90 Westbound at Exit 50 I-290 .,Buffalo,NY,2020-04-13
346076,A-858375,3,Left lane blocked due to accident on I-290 Westbound at Exit 2 NY-425 Colvin Blvd.,Tonawanda,NY,2020-04-14
346093,A-858392,3,Right and center lane blocked and right hand shoulder blocked due to accident on I-94 Eastbound at Edsel Ford Fwy.,Detroit,MI,2020-04-15
348266,A-860565,2,Right lane blocked due to accident on NY-33 Kensington Expy Westbound at NY-240 Harlem Rd.,Buffalo,NY,2020-04-16
349350,A-861649,2,Traffic problem due to accident on PA-646 Summit Rd both ways at PA-346 Derrick Rd.,Derrick City,PA,2020-04-17
349462,A-861761,2,Right lane blocked due to accident on I-95 Southbound at Exit 16 Cedar St.,New Rochelle,NY,2020-04-18
350913,A-863212,2,Accident on I-190 Northbound at Exit 19 CR-75 Whitehaven Rd.,Grand Island,NY,2020-04-19
350940,A-863239,3,Left and center lane blocked due to accident on I-678 Southbound at Exits 5 6 Van Wyck Expy.,Richmond Hill,NY,2020-04-20
352450,A-864749,2,Accident on I-190 Southbound at Exit 15 NY-325 Sheridan Dr.,Tonawanda,NY,2020-04-21
353541,A-865840,2,Accident on US-62 Walnut Ave at 21st St.,Niagara Falls,NY,2020-04-22
353679,A-865978,2,Accident on I-95 both ways at Exit 16 Cedar St.,New Rochelle,NY,2020-04-23
354711,A-867010,1,Accident on exit ramp from I-890 Eastbound at Exit 4B to North Ave.,Schenectady,NY,2020-04-24
357176,A-869475,3,Accident on I-190 Southbound at Exits 1-52 54-61 I-90 Exit 53.,Buffalo,NY,2020-04-25
357502,A-869801,2,Accident on I-90 Westbound at Exit 48/ NY-77.,Corfu,NY,2020-04-26
357794,A-870093,3,Right lane blocked due to accident on I-190 Northbound at Exit 9 Porter Ave.,Buffalo,NY,2020-04-27
358958,A-871257,2,Accident on I-90 Eastbound from Exit 52A CR-207 William St to Exit 52 Walden Ave.,Buffalo,NY,2020-04-28
361263,A-873562,3,Right lane blocked due to accident on I-190 Southbound at Exit 11 NY-198.,Buffalo,NY,2020-02-29
361299,A-873598,2,Two lanes blocked due to accident on Belt Pkwy Westbound at Exits 7 7A Leif Ericson Dr.,Brooklyn,NY,2020-02-28
361553,A-873852,3,Entry ramp to I-59 Northbound from Pump Slough Rd closed due to flooding.,Pearl River,LA,2020-02-25
361580,A-873879,3,Entry ramp to I-59 Northbound from I-59 Service Rd closed due to flooding.,Pearl River,LA,2020-02-24
361850,A-874149,3,Right lane blocked due to accident on I-190 Southbound near Exit 6 Elm St.,Buffalo,NY,2020-03-01
362384,A-874683,2,Accident on I-90 Westbound at Exit 59 NY-60 Bennett Rd.,Dunkirk,NY,2020-03-02
366657,A-878957,3,Accident on I-90 Westbound from I-90 Exits 51 to I-90 Exits 52.,Buffalo,NY,2020-01-04
366676,A-878976,3,Exit ramp from I-94 Eastbound at Exit 220B to Conner St lane blocked due to accident.,Detroit,MI,2020-01-05
367044,A-879346,3,One lane blocked due to accident on I-25 Northbound at County Line Rd.,Larkspur,CO,2020-01-03
367657,A-879959,2,Accident on US-219 Northbound at CR-49 Genesee Rd.,Springville,NY,2020-01-06
367738,A-880040,3,Right lane blocked due to accident on I-96 Eastbound at I-96 Exit 164 / I-275 .,Novi,MI,2020-01-07
369858,A-882160,2,Accident on Linden Rd at Wilson Rd.,Clio,MI,2020-01-08
374053,A-886356,3,Lef lane blocked due to accident on I-190 Southbound after Exit 18A Stony Point Ext.,Grand Island,NY,2020-01-09
374341,A-886644,1,Accident on Silverton Rd at Stapleton Ave.,Brick,NJ,2020-01-10
376197,A-888500,3,Left lane blocked due to accident on I-94 Westbound around Exit 198-199 Merriman Rd.,Romulus,MI,2020-01-11
378512,A-890815,3,Left lane blocked and left hand shoulder blocked due to accident on I-96 Eastbound at Exit 183 M-39 Exit 11A.,Detroit,MI,2020-01-12
379483,A-891786,3,Left lane blocked due to accident on I-190 Northbound at Exit 15 NY-325 Sheridan Dr.,Tonawanda,NY,2020-01-13
379741,A-892044,2,Accident on I-87 at Exit 17 I-84 Exits 7A 7B.,Newburgh,NY,2020-01-14
381926,A-894229,2,Accident on Gale Rd at Burpee Rd.,Grand Blanc,MI,2020-01-15
384430,A-896733,2,Accident on Court St at Bradley Ave.,Flint,MI,2020-01-16
386931,A-899234,3,Right lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 27 Atlantic Ave.,Brooklyn,NY,2020-01-17
388989,A-901292,2,Accident on M-21 Corunna Rd at Morrish Rd.,Flint,MI,2020-01-18
391467,A-903770,2,Right hand shoulder blocked due to accident on I-90 Eastbound at Exits 3 4 NY-85.,Albany,NY,2020-01-19
392221,A-904524,2,Right lane blocked and right hand shoulder blocked due to accident on M-10 John C Lodge Fwy Northbound at M-39 Exit 16 / Northwestern Hwy.,Southfield,MI,2020-01-20
392752,A-905055,2,Accident on Atherton Rd at Fenton Rd.,Flint,MI,2020-01-21
394874,A-907177,3,Right lane closed and right hand shoulder closed due to accident on I-64 Westbound in Westbriar.,Henrico,VA,2020-01-22
396645,A-908955,3,Right lane blocked due to accident on I-690 Eastbound after I-81.,Syracuse,NY,2020-01-23
398712,A-911023,2,Accident on NY-78 Transit St at Ontario St.,Lockport,NY,2020-01-24
398720,A-911031,3,Right lane blocked due to accident on I-90 Eastbound after Exit 50A CR-141 Cleveland Dr.,Buffalo,NY,2020-01-25
403419,A-915730,3,Lane blocked due to accident on I-87 Northbound at Exit 23 CR-35 Diamond Point Rd.,Lake George,NY,2020-01-26
404736,A-917047,2,Accident on I-90 Westbound at Exit 60 NY-394 Portage St.,Westfield,NY,2020-01-27
404819,A-917130,3,Left lane blocked due to accident on I-87 Southbound at Kingston (Rte 28).,Kingston,NY,2020-01-28
406791,A-919102,2,One lane blocked due to accident on NY-79 Eastbound at Doolittle Rd.,Windsor,NY,2020-01-29
408931,A-921242,2,Accident on M-54 Dort Hwy at Saginaw Rd.,Clio,MI,2020-01-30
411054,A-923365,3,Right lane blocked due to accident on I-94 Eastbound at Exit 128 Michigan Ave.,Parma,MI,2020-01-31
413034,A-925346,2,Right hand shoulder blocked due to accident on Taconic State Pkwy Northbound after NY-203.,Chatham,NY,2020-02-01
415242,A-927554,3,Left lane blocked and left hand shoulder blocked due to accident on I-95 Southbound from Exit 15W I-280 to Exit 15X Seaview Dr.,Secaucus,NJ,2020-02-02
416028,A-928340,3,Left lane blocked due to accident on I-80 Westbound at Exits 34A 34B NJ-15.,Wharton,NJ,2020-02-03
416617,A-928929,2,Accident on I-90 Eastbound at Exit 48A NY-77 Alleghany Rd.,Corfu,NY,2020-02-04
420906,A-933218,2,Left lane blocked due to accident on NY-33 Kensington Expy Westbound at Eggert Rd.,Buffalo,NY,2020-02-05
421137,A-933449,3,Right lane blocked due to accident on I-280 Eastbound at Exit 15 NJ-21 Mccarter Hwy.,Newark,NJ,2020-02-06
423472,A-935784,2,Accident on M-54 Dort Hwy at Mt Morris Rd.,Mount Morris,MI,2020-02-07
426240,A-938552,2,Left hand shoulder blocked due to accident on I-94 Westbound at Exit 190 Belleville Rd.,Belleville,MI,2020-02-08
428910,A-941222,2,Lane blocked due to accident on NY-2 at Bulson Rd.,Troy,NY,2020-02-09
429532,A-941844,3,Two lanes blocked due to accident on I-96 Eastbound at Exits 186A 186B Davison.,Detroit,MI,2020-02-10
430246,A-942558,3,Center and right lane blocked and left hand shoulder blocked due to accident on I-94 Eastbound at Exit 198-199 Merriman Rd.,Romulus,MI,2020-02-11
432572,A-944884,2,Accident on Van Slyke Rd at Hemphill Rd.,Flint,MI,2020-02-12
434957,A-947269,2,Right hand shoulder closed due to accident on I-94 Eastbound at Exit 198-199 Merriman Rd.,Romulus,MI,2020-02-13
437143,A-949455,3,Accident on I-90 Westbound at CR-77.,Corfu,NY,2020-02-14
439772,A-952084,2,Right hand shoulder blocked due to accident on I-96 Eastbound at Kent Lake Rd.,New Hudson,MI,2020-02-15
442260,A-954573,2,Left lane blocked due to accident on Fdr Dr Northbound at Exit 11 53rd St.,New York,NY,2020-02-16
442925,A-955238,4,Lane blocked due to accident on I-85 Southbound from Exits 38 39 I-77 Exits 13A 13B to Exit 37 Beatties Ford Rd.,Charlotte,NC,2020-02-17
443490,A-955803,2,Left and center lane blocked due to accident on M-10 John C Lodge Fwy Southbound at US-24 Telegraph Rd.,Southfield,MI,2020-02-18
446366,A-958679,4,Right hand shoulder blocked due to accident on I-75 Northbound from GA-166 Langford Pkwy to Exit 244 University Ave.,Atlanta,GA,2020-02-19
447775,A-960088,3,Accident on I-87 Southbound before Exit 21B US-9W.,West Coxsackie,NY,2020-02-20
452022,A-964335,2,Right lane blocked due to accident on I-90 Westbound at Exit 53 I-190 .,Buffalo,NY,2020-02-21
452276,A-964589,2,Right hand shoulder blocked due to accident on Taconic State Pkwy Southbound at NY-82.,Lagrangeville,NY,2020-02-22
454367,A-966680,2,Exit ramp from FL-826 Westbound to Nw 167th St Westbound closed. Emergency vehicles.,Miami Gardens,FL,2020-02-23
457788,A-970101,3,Left hand shoulder blocked and left and center lane blocked due to accident on I-94 Westbound at Exit 202 US-24 Telegraph Rd.,Taylor,MI,2020-02-26
459987,A-972300,2,Right and center lane blocked due to accident on Garden State Pkwy Express Lane Southbound at Exit 117 Garden State Pkwy Exit 117.,Hazlet,NJ,2020-02-27
465714,A-978027,2,Accident on I-90 Westbound between Exit 48 NY-98 and Exit 49 NY-78 Transit Rd.,Buffalo,NY,2020-01-01
466059,A-978375,2,Accident on Oak Ridge Rd at Tiner Ave.,Orlando,FL,2020-01-02
470317,A-2954032,2,I5 S BIRMINGHAM NO. 504C; MAKE 1185 - 3A NEG ON ROT - FOR BLU FORD RANGER [Shared],Cardiff By the Sea,CA,2020-12-04
806164,A-3294664,2,Incident on SC-183 near SC-253 Expect delays.,Greenville,SC,2020-05-04
1115336,A-3605758,2,At IN-243/Exit 37 - Accident. Right lane blocked.,Reelsville,IN,2020-03-29
1116428,A-3606850,2,At VT-73 - Accident. Right lane closed.,Brandon,VT,2020-03-30
1118015,A-3608437,3,At Lewis St - Overturned vehicle. Left lane blocked.,Indianapolis,IN,2020-03-31
